TIME,CH0,CH1,CH2
0:00:05,0.7009,0.2276,0.4997
0:00:05,0.7357,0.2615,0.4981
0:00:05,0.7686,0.2951,0.4915
0:00:05,0.7996,0.3284,0.4799
0:00:05,0.8286,0.3612,0.4636
0:00:05,0.8556,0.3936,0.4427
0:00:05,0.8804,0.4256,0.4173
0:00:05,0.903,0.457,0.3877
0:00:05,0.9233,0.4878,0.3543
0:00:05,0.9413,0.5181,0.3174
0:00:05,0.957,0.5477,0.2772
0:00:05,0.9703,0.5766,0.2343
0:00:05,0.9811,0.6048,0.1891
0:00:05,0.9896,0.6323,0.1419
0:00:06,0.9955,0.6591,0.0934
0:00:06,0.9989,0.685,0.0439
0:00:06,0.9999,0.71,-0.006
0:00:06,0.9983,0.7342,-0.0559
0:00:06,0.9943,0.7576,-0.1052
0:00:06,0.9878,0.7799,-0.1534
0:00:06,0.9788,0.8013,-0.2002
0:00:06,0.9673,0.8218,-0.2449
0:00:06,0.9534,0.8412,-0.2872
0:00:06,0.9372,0.8596,-0.3266
0:00:06,0.9186,0.877,-0.3627
0:00:06,0.8977,0.8932,-0.3952
0:00:06,0.8746,0.9084,-0.4238
0:00:06,0.8493,0.9225,-0.4481
0:00:06,0.8218,0.9354,-0.468
0:00:06,0.0,0.0,0.0
0:00:06,0.0,0.0,0.0
0:00:06,0.0,0.0,0.0
0:00:06,0.0,0.0,0.0
0:00:06,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:07,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:08,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
0:00:09,0.0,0.0,0.0
